Date of Publication,Quarter_From,Quarter_To,Year,Region,Sex,Age,Total,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),"Unemployment
rate (%)",Economic inactivity rate (%)
Dec-Feb,Dec,Feb,2023,East Midlands,Male,All aged 16 to 64,1472413,1238002,1191669,46333,234411,84.1,80.9,3.7,15.9
Dec-Feb,Dec,Feb,2023,East Midlands,Female,All aged 16 to 64,1486943,1073107,1034432,38675,413836,72.2,69.6,3.6,27.8
Dec-Feb,Dec,Feb,2023,West Midland,Male,All aged 16 to 64,1819949,1480082,1411199,68883,339867,81.3,77.5,4.7,18.7
Dec-Feb,Dec,Feb,2023,West Midland,Female,All aged 16 to 64,1816416,1330151,1269712,60439,486265,73.2,69.9,4.5,26.8
Dec-Feb,Dec,Feb,2023,East of England,Male,All aged 16 to 64,1891447,1623412,1566475,56937,268035,85.8,82.8,3.5,14.2
Dec-Feb,Dec,Feb,2023,East of England,Female,All aged 16 to 64,1914014,1488595,1416876,71720,425419,77.8,74.0,4.8,22.2
Dec-Feb,Dec,Feb,2023,London,Male,All aged 16 to 64,3112994,2552391,2456794,95597,560603,82.0,78.9,3.7,18.0
Dec-Feb,Dec,Feb,2023,London,Female,All aged 16 to 64,3047746,2298305,2160499,137806,749441,75.4,70.9,6.0,24.6
Dec-Feb,Dec,Feb,2023,South East,Male,All aged 16 to 64,2792164,2387427,2278350,109077,404737,85.5,81.6,4.6,14.5
Dec-Feb,Dec,Feb,2023,South East,Female,All aged 16 to 64,2821749,2234535,2154773,79762,587214,79.2,76.4,3.6,20.8
Dec-Feb,Dec,Feb,2023,South West,Male,All aged 16 to 64,1665073,1405170,1365189,39981,259903,84.4,82.0,2.8,15.6
Dec-Feb,Dec,Feb,2023,South West,Female,All aged 16 to 64,1687961,1324785,1299562,25223,363176,78.5,77.0,1.9,21.5
Dec-Feb,Dec,Feb,2023,England,Male,All aged 16 to 64,17482619,14521169,13934372,586797,2961450,83.1,79.7,4.0,16.9
Dec-Feb,Dec,Feb,2023,England,Female,All aged 16 to 64,17562028,13272152,12748384,523768,4289876,75.6,72.6,3.9,24.4
Dec-Feb,Dec,Feb,2023,Wales,Male,All aged 16 to 64,953683,776095,740542,35554,177588,81.4,77.7,4.6,18.6
Dec-Feb,Dec,Feb,2023,Wales,Female,All aged 16 to 64,958102,660053,643215,16838,298049,68.9,67.1,2.6,31.1
Dec-Feb,Dec,Feb,2023,Scotland,Male,All aged 16 to 64,1682611,1353390,1312583,40807,329221,80.4,78.0,3.0,19.6
Dec-Feb,Dec,Feb,2023,Scotland,Female,All aged 16 to 64,1761362,1332272,1293404,38868,429090,75.6,73.4,2.9,24.4
Dec-Feb,Dec,Feb,2023,Northern Ireland,Male,All aged 16 to 64,578981,451840,436724,15115,127141,78.0,75.4,3.3,22.0
Feb-Apr,Dec,Feb,2023,Northern Ireland,Female,All aged 16 to 64,590794,411220,404772,6448,179574,69.6,68.5,1.6,30.4
Feb-Apr,Feb,Apr,2021,North East,Male,All aged 16 to 64,801295,640104,586331,53772,161191,79.9,73.2,8.4,20.1
Feb-Apr,Feb,Apr,2021,North East,Female,All aged 16 to 64,821802,599622,574435,25187,222180,73.0,69.9,4.2,27.0
Feb-Apr,Feb,Apr,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1677764,1350792,1279761,71032,326972,80.5,76.3,5.3,19.5
Feb-Apr,Feb,Apr,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1689122,1227220,1164823,62397,461902,72.7,69.0,5.1,27.3
Feb-Apr,Feb,Apr,2021,East Midlands,Male,All aged 16 to 64,1463993,1201253,1132825,68429,262740,82.1,77.4,5.7,17.9
Feb-Apr,Feb,Apr,2021,East Midlands,Female,All aged 16 to 64,1478577,1124312,1075214,49098,354265,76.0,72.7,4.4,24.0
Feb-Apr,Feb,Apr,2021,West Midland,Male,All aged 16 to 64,1808957,1478343,1384269,94074,330614,81.7,76.5,6.4,18.3
Feb-Apr,Feb,Apr,2021,West Midland,Female,All aged 16 to 64,1805701,1339052,1260074,78978,466649,74.2,69.8,5.9,25.8
Feb-Apr,Feb,Apr,2021,East of England,Male,All aged 16 to 64,1879649,1595223,1532913,62311,284426,84.9,81.6,3.9,15.1
Feb-Apr,Feb,Apr,2021,East of England,Female,All aged 16 to 64,1902260,1466012,1405700,60313,436248,77.1,73.9,4.1,22.9
Feb-Apr,Feb,Apr,2021,London,Male,All aged 16 to 64,3090769,2564292,2401705,162587,526477,83.0,77.7,6.3,17.0
Feb-Apr,Feb,Apr,2021,London,Female,All aged 16 to 64,3027866,2328357,2155929,172428,699509,76.9,71.2,7.4,23.1
Feb-Apr,Feb,Apr,2021,South East,Male,All aged 16 to 64,2775487,2377857,2273414,104442,397630,85.7,81.9,4.4,14.3
Feb-Apr,Feb,Apr,2021,South East,Female,All aged 16 to 64,2805275,2175005,2099933,75072,630270,77.5,74.9,3.5,22.5
Feb-Apr,Feb,Apr,2021,South West,Male,All aged 16 to 64,1655470,1370806,1324874,45932,284664,82.8,80.0,3.4,17.2
Feb-Apr,Feb,Apr,2021,South West,Female,All aged 16 to 64,1678303,1278136,1227064,51072,400167,76.2,73.1,4.0,23.8
Feb-Apr,Feb,Apr,2021,England,Male,All aged 16 to 64,17378855,14341084,13594270,746814,3037771,82.5,78.2,5.2,17.5
Feb-Apr,Feb,Apr,2021,England,Female,All aged 16 to 64,17461078,13205238,12544577,660661,4255840,75.6,71.8,5.0,24.4
Feb-Apr,Feb,Apr,2021,Wales,Male,All aged 16 to 64,948638,766325,721188,45137,182313,80.8,76.0,5.9,19.2
Feb-Apr,Feb,Apr,2021,Wales,Female,All aged 16 to 64,953317,701841,683146,18695,251476,73.6,71.7,2.7,26.4
Feb-Apr,Feb,Apr,2021,Scotland,Male,All aged 16 to 64,1674013,1330314,1265372,64943,343699,79.5,75.6,4.9,20.5
Feb-Apr,Feb,Apr,2021,Scotland,Female,All aged 16 to 64,1752575,1320645,1267457,53188,431930,75.4,72.3,4.0,24.6
Feb-Apr,Feb,Apr,2021,Northern Ireland,Male,All aged 16 to 64,575906,422410,404275,18135,153496,73.3,70.2,4.3,26.7
Feb-Apr,Feb,Apr,2021,Northern Ireland,Female,All aged 16 to 64,587749,403692,391599,12093,184057,68.7,66.6,3.0,31.3
Feb-Apr,Feb,Apr,2022,North East,Male,All aged 16 to 64,802524,625145,585153,39992,177379,77.9,72.9,6.4,22.1
Feb-Apr,Feb,Apr,2022,North East,Female,All aged 16 to 64,823092,597051,572971,24080,226041,72.5,69.6,4.0,27.5
Feb-Apr,Feb,Apr,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1681460,1360929,1297692,63236,320531,80.9,77.2,4.6,19.1
Feb-Apr,Feb,Apr,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1692853,1223826,1164576,59250,469027,72.3,68.8,4.8,27.7
Feb-Apr,Feb,Apr,2022,East Midlands,Male,All aged 16 to 64,1467985,1182213,1150870,31344,285772,80.5,78.4,2.7,19.5
Feb-Apr,Feb,Apr,2022,East Midlands,Female,All aged 16 to 64,1482542,1112113,1081006,31108,370429,75.0,72.9,2.8,25.0
Feb-Apr,Feb,Apr,2022,West Midland,Male,All aged 16 to 64,1814541,1520420,1458510,61910,294121,83.8,80.4,4.1,16.2
Feb-Apr,Feb,Apr,2022,West Midland,Female,All aged 16 to 64,1810985,1360029,1291717,68312,450956,75.1,71.3,5.0,24.9
Feb-Apr,Feb,Apr,2022,East of England,Male,All aged 16 to 64,1885762,1584662,1530531,54130,301100,84.0,81.2,3.4,16.0
Feb-Apr,Feb,Apr,2022,East of England,Female,All aged 16 to 64,1908167,1480375,1420698,59677,427792,77.6,74.5,4.0,22.4
Feb-Apr,Feb,Apr,2022,London,Male,All aged 16 to 64,3103700,2619609,2497249,122359,484091,84.4,80.5,4.7,15.6
Feb-Apr,Feb,Apr,2022,London,Female,All aged 16 to 64,3038677,2240145,2118310,121835,798532,73.7,69.7,5.4,26.3
Feb-Apr,Feb,Apr,2022,South East,Male,All aged 16 to 64,2783795,2362514,2283744,78770,421281,84.9,82.0,3.3,15.1
Feb-Apr,Feb,Apr,2022,South East,Female,All aged 16 to 64,2813342,2176467,2112062,64406,636875,77.4,75.1,3.0,22.6
Feb-Apr,Feb,Apr,2022,South West,Male,All aged 16 to 64,1660104,1388914,1341910,47003,271190,83.7,80.8,3.4,16.3
Feb-Apr,Feb,Apr,2022,South West,Female,All aged 16 to 64,1682887,1341982,1308553,33429,340905,79.7,77.8,2.5,20.3
Feb-Apr,Feb,Apr,2022,England,Male,All aged 16 to 64,17430289,14449732,13862679,587053,2980557,82.9,79.5,4.1,17.1
Feb-Apr,Feb,Apr,2022,England,Female,All aged 16 to 64,17509544,13193698,12668614,525084,4315846,75.4,72.4,4.0,24.6
Feb-Apr,Feb,Apr,2022,Wales,Male,All aged 16 to 64,950827,755215,729187,26028,195612,79.4,76.7,3.4,20.6
Feb-Apr,Feb,Apr,2022,Wales,Female,All aged 16 to 64,955263,706972,680818,26154,248291,74.0,71.3,3.7,26.0
Feb-Apr,Feb,Apr,2022,Scotland,Male,All aged 16 to 64,1677546,1348912,1290172,58740,328634,80.4,76.9,4.4,19.6
Feb-Apr,Feb,Apr,2022,Scotland,Female,All aged 16 to 64,1756067,1332517,1302825,29692,423550,75.9,74.2,2.2,24.1
Feb-Apr,Feb,Apr,2022,Northern Ireland,Male,All aged 16 to 64,577247,437461,423991,13471,139786,75.8,73.5,3.1,24.2
Feb-Apr,Feb,Apr,2022,Northern Ireland,Female,All aged 16 to 64,589009,404243,395038,9205,184766,68.6,67.1,2.3,31.4
Feb-Apr,Feb,Apr,2023,North East,Male,All aged 16 to 64,805548,642214,607809,34405,163334,79.7,75.5,5.4,20.3
Feb-Apr,Feb,Apr,2023,North East,Female,All aged 16 to 64,826337,620047,606178,13869,206290,75.0,73.4,2.2,25.0
Feb-Apr,Feb,Apr,2023,Yorkshire and The Humber,Male,All aged 16 to 64,1687822,1379593,1312439,67154,308229,81.7,77.8,4.9,18.3
Feb-Apr,Feb,Apr,2023,Yorkshire and The Humber,Female,All aged 16 to 64,1699179,1240862,1206058,34803,458317,73.0,71.0,2.8,27.0
Feb-Apr,Feb,Apr,2023,East Midlands,Male,All aged 16 to 64,1473485,1253066,1205225,47841,220419,85.0,81.8,3.8,15.0
Feb-Apr,Feb,Apr,2023,East Midlands,Female,All aged 16 to 64,1488091,1073223,1038553,34669,414868,72.1,69.8,3.2,27.9
Feb-Apr,Feb,Apr,2023,West Midland,Male,All aged 16 to 64,1821317,1521856,1439028,82828,299461,83.6,79.0,5.4,16.4
Feb-Apr,Feb,Apr,2023,West Midland,Female,All aged 16 to 64,1817770,1370956,1310326,60630,446814,75.4,72.1,4.4,24.6
Feb-Apr,Feb,Apr,2023,East of England,Male,All aged 16 to 64,1892839,1625905,1558571,67335,266934,85.9,82.3,4.1,14.1
Feb-Apr,Feb,Apr,2023,East of England,Female,All aged 16 to 64,1915480,1497077,1429278,67799,418403,78.2,74.6,4.5,21.8
Feb-Apr,Feb,Apr,2023,London,Male,All aged 16 to 64,3115369,2585301,2490161,95141,530068,83.0,79.9,3.7,17.0
Feb-Apr,Feb,Apr,2023,London,Female,All aged 16 to 64,3050339,2304366,2173997,130368,745973,75.5,71.3,5.7,24.5
Feb-Apr,Feb,Apr,2023,South East,Male,All aged 16 to 64,2794245,2368279,2269432,98847,425966,84.8,81.2,4.2,15.2
Feb-Apr,Feb,Apr,2023,South East,Female,All aged 16 to 64,2823915,2221295,2145832,75463,602620,78.7,76.0,3.4,21.3
Feb-Apr,Feb,Apr,2023,South West,Male,All aged 16 to 64,1666331,1397225,1348829,48396,269106,83.9,80.9,3.5,16.1
Feb-Apr,Feb,Apr,2023,South West,Female,All aged 16 to 64,1689230,1322110,1282676,39434,367120,78.3,75.9,3.0,21.7
Feb-Apr,Feb,Apr,2023,England,Male,All aged 16 to 64,17495755,14603537,14012406,591132,2892218,83.5,80.1,4.0,16.5
Feb-Apr,Feb,Apr,2023,England,Female,All aged 16 to 64,17575904,13308782,12800054,508728,4267122,75.7,72.8,3.8,24.3
Feb-Apr,Feb,Apr,2023,Wales,Male,All aged 16 to 64,954400,792697,739753,52944,161703,83.1,77.5,6.7,16.9
Feb-Apr,Feb,Apr,2023,Wales,Female,All aged 16 to 64,958832,654334,634374,19960,304498,68.2,66.2,3.1,31.8
Feb-Apr,Feb,Apr,2023,Scotland,Male,All aged 16 to 64,1683880,1348057,1303645,44411,335823,80.1,77.4,3.3,19.9
Feb-Apr,Feb,Apr,2023,Scotland,Female,All aged 16 to 64,1762700,1308476,1268819,39657,454224,74.2,72.0,3.0,25.8
Feb-Apr,Feb,Apr,2023,Northern Ireland,Male,All aged 16 to 64,579428,453818,440249,13569,125610,78.3,76.0,3.0,21.7
Jan-Mar,Feb,Apr,2023,Northern Ireland,Female,All aged 16 to 64,591244,414811,406742,8069,176433,70.2,68.8,1.9,29.8
Jan-Mar,Jan,Mar,2021,North East,Male,All aged 16 to 64,801709,638512,592449,46063,163197,79.6,73.9,7.2,20.4
Jan-Mar,Jan,Mar,2021,North East,Female,All aged 16 to 64,822218,605496,575793,29703,216722,73.6,70.0,4.9,26.4
Jan-Mar,Jan,Mar,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1678260,1345980,1271270,74710,332280,80.2,75.7,5.6,19.8
Jan-Mar,Jan,Mar,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1689543,1220540,1164286,56254,469003,72.2,68.9,4.6,27.8
Jan-Mar,Jan,Mar,2021,East Midlands,Male,All aged 16 to 64,1464184,1206192,1129645,76547,257992,82.4,77.2,6.3,17.6
Jan-Mar,Jan,Mar,2021,East Midlands,Female,All aged 16 to 64,1478740,1117476,1069786,47691,361264,75.6,72.3,4.3,24.4
Jan-Mar,Jan,Mar,2021,West Midland,Male,All aged 16 to 64,1808952,1478942,1384014,94928,330010,81.8,76.5,6.4,18.2
Jan-Mar,Jan,Mar,2021,West Midland,Female,All aged 16 to 64,1805804,1330950,1251726,79225,474854,73.7,69.3,6.0,26.3
Jan-Mar,Jan,Mar,2021,East of England,Male,All aged 16 to 64,1879542,1593609,1532084,61525,285933,84.8,81.5,3.9,15.2
Jan-Mar,Jan,Mar,2021,East of England,Female,All aged 16 to 64,1902268,1474978,1412110,62869,427290,77.5,74.2,4.3,22.5
Jan-Mar,Jan,Mar,2021,London,Male,All aged 16 to 64,3089628,2570190,2397845,172345,519438,83.2,77.6,6.7,16.8
Jan-Mar,Jan,Mar,2021,London,Female,All aged 16 to 64,3027274,2336032,2160776,175256,691242,77.2,71.4,7.5,22.8
Jan-Mar,Jan,Mar,2021,South East,Male,All aged 16 to 64,2775437,2375239,2276192,99047,400198,85.6,82.0,4.2,14.4
Jan-Mar,Jan,Mar,2021,South East,Female,All aged 16 to 64,2805457,2155641,2092774,62867,649816,76.8,74.6,2.9,23.2
Jan-Mar,Jan,Mar,2021,South West,Male,All aged 16 to 64,1655528,1376183,1322924,53260,279345,83.1,79.9,3.9,16.9
Jan-Mar,Jan,Mar,2021,South West,Female,All aged 16 to 64,1678442,1289078,1236706,52371,389364,76.8,73.7,4.1,23.2
Jan-Mar,Jan,Mar,2021,England,Male,All aged 16 to 64,17379292,14358955,13594673,764282,3020337,82.6,78.2,5.3,17.4
Jan-Mar,Jan,Mar,2021,England,Female,All aged 16 to 64,17462577,13187810,12533733,654076,4274767,75.5,71.8,5.0,24.5
Jan-Mar,Jan,Mar,2021,Wales,Male,All aged 16 to 64,948851,767244,721119,46125,181607,80.9,76.0,6.0,19.1
Jan-Mar,Jan,Mar,2021,Wales,Female,All aged 16 to 64,953611,704195,683388,20807,249416,73.8,71.7,3.0,26.2
Jan-Mar,Jan,Mar,2021,Scotland,Male,All aged 16 to 64,1674519,1340340,1278134,62206,334179,80.0,76.3,4.6,20.0
Jan-Mar,Jan,Mar,2021,Scotland,Female,All aged 16 to 64,1753213,1322826,1263728,59098,430387,75.5,72.1,4.5,24.5
Jan-Mar,Jan,Mar,2021,Northern Ireland,Male,All aged 16 to 64,576008,423956,404077,19879,152052,73.6,70.2,4.7,26.4
Jan-Mar,Jan,Mar,2021,Northern Ireland,Female,All aged 16 to 64,587909,400268,385820,14448,187641,68.1,65.6,3.6,31.9
Jan-Mar,Jan,Mar,2022,North East,Male,All aged 16 to 64,802366,627900,591235,36665,174466,78.3,73.7,5.8,21.7
Jan-Mar,Jan,Mar,2022,North East,Female,All aged 16 to 64,822928,588225,561840,26385,234703,71.5,68.3,4.5,28.5
Jan-Mar,Jan,Mar,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1681158,1359476,1297276,62200,321682,80.9,77.2,4.6,19.1
Jan-Mar,Jan,Mar,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1692494,1213508,1170158,43350,478986,71.7,69.1,3.6,28.3
Jan-Mar,Jan,Mar,2022,East Midlands,Male,All aged 16 to 64,1467732,1174413,1143668,30746,293319,80.0,77.9,2.6,20.0
Jan-Mar,Jan,Mar,2022,East Midlands,Female,All aged 16 to 64,1482193,1132576,1101461,31115,349617,76.4,74.3,2.7,23.6
Jan-Mar,Jan,Mar,2022,West Midland,Male,All aged 16 to 64,1814167,1524465,1462058,62407,289702,84.0,80.6,4.1,16.0
Jan-Mar,Jan,Mar,2022,West Midland,Female,All aged 16 to 64,1810637,1366223,1296861,69362,444414,75.5,71.6,5.1,24.5
Jan-Mar,Jan,Mar,2022,East of England,Male,All aged 16 to 64,1885391,1582706,1526845,55861,302685,83.9,81.0,3.5,16.1
Jan-Mar,Jan,Mar,2022,East of England,Female,All aged 16 to 64,1907793,1478666,1429246,49420,429127,77.5,74.9,3.3,22.5
Jan-Mar,Jan,Mar,2022,London,Male,All aged 16 to 64,3103101,2628826,2512027,116800,474275,84.7,81.0,4.4,15.3
Jan-Mar,Jan,Mar,2022,London,Female,All aged 16 to 64,3038063,2221031,2106790,114242,817032,73.1,69.3,5.1,26.9
Jan-Mar,Jan,Mar,2022,South East,Male,All aged 16 to 64,2783263,2365316,2280166,85149,417947,85.0,81.9,3.6,15.0
Jan-Mar,Jan,Mar,2022,South East,Female,All aged 16 to 64,2812819,2170332,2104394,65939,642487,77.2,74.8,3.0,22.8
Jan-Mar,Jan,Mar,2022,South West,Male,All aged 16 to 64,1659747,1379990,1335958,44032,279757,83.1,80.5,3.2,16.9
Jan-Mar,Jan,Mar,2022,South West,Female,All aged 16 to 64,1682615,1344400,1308931,35469,338215,79.9,77.8,2.6,20.1
Jan-Mar,Jan,Mar,2022,England,Male,All aged 16 to 64,17426958,14432935,13851189,581747,2994023,82.8,79.5,4.0,17.2
Jan-Mar,Jan,Mar,2022,England,Female,All aged 16 to 64,17506122,13157225,12657801,499425,4348897,75.2,72.3,3.8,24.8
Jan-Mar,Jan,Mar,2022,Wales,Male,All aged 16 to 64,950653,754608,731486,23122,196045,79.4,76.9,3.1,20.6
Jan-Mar,Jan,Mar,2022,Wales,Female,All aged 16 to 64,955052,702226,681672,20554,252826,73.5,71.4,2.9,26.5
Jan-Mar,Jan,Mar,2022,Scotland,Male,All aged 16 to 64,1677242,1351947,1290407,61540,325295,80.6,76.9,4.6,19.4
Jan-Mar,Jan,Mar,2022,Scotland,Female,All aged 16 to 64,1755741,1328693,1302651,26042,427048,75.7,74.2,2.0,24.3
Jan-Mar,Jan,Mar,2022,Northern Ireland,Male,All aged 16 to 64,577172,444392,429196,15196,132780,77.0,74.4,3.4,23.0
Jan-Mar,Jan,Mar,2022,Northern Ireland,Female,All aged 16 to 64,588891,401217,393656,7561,187674,68.1,66.8,1.9,31.9
Jan-Mar,Jan,Mar,2023,North East,Male,All aged 16 to 64,805189,640385,604791,35594,164804,79.5,75.1,5.6,20.5
Jan-Mar,Jan,Mar,2023,North East,Female,All aged 16 to 64,826179,617426,597122,20303,208753,74.7,72.3,3.3,25.3
Jan-Mar,Jan,Mar,2023,Yorkshire and The Humber,Male,All aged 16 to 64,1687118,1375616,1304057,71559,311502,81.5,77.3,5.2,18.5
Jan-Mar,Jan,Mar,2023,Yorkshire and The Humber,Female,All aged 16 to 64,1698446,1259739,1226891,32848,438707,74.2,72.2,2.6,25.8
Jan-Mar,Jan,Mar,2023,East Midlands,Male,All aged 16 to 64,1472852,1245353,1194075,51278,227499,84.6,81.1,4.1,15.4
Jan-Mar,Jan,Mar,2023,East Midlands,Female,All aged 16 to 64,1487421,1082691,1042578,40114,404730,72.8,70.1,3.7,27.2
Jan-Mar,Jan,Mar,2023,West Midland,Male,All aged 16 to 64,1820543,1506148,1422643,83504,314395,82.7,78.1,5.5,17.3
Jan-Mar,Jan,Mar,2023,West Midland,Female,All aged 16 to 64,1816988,1336415,1274911,61504,480573,73.6,70.2,4.6,26.4
Jan-Mar,Jan,Mar,2023,East of England,Male,All aged 16 to 64,1891994,1618749,1561213,57536,273245,85.6,82.5,3.6,14.4
Jan-Mar,Jan,Mar,2023,East of England,Female,All aged 16 to 64,1914561,1506266,1434418,71848,408295,78.7,74.9,4.8,21.3
Jan-Mar,Jan,Mar,2023,London,Male,All aged 16 to 64,3114024,2599324,2500731,98593,514700,83.5,80.3,3.8,16.5
Jan-Mar,Jan,Mar,2023,London,Female,All aged 16 to 64,3048801,2278520,2143273,135247,770281,74.7,70.3,5.9,25.3
Jan-Mar,Jan,Mar,2023,South East,Male,All aged 16 to 64,2793077,2378566,2272735,105831,414511,85.2,81.4,4.4,14.8
Jan-Mar,Jan,Mar,2023,South East,Female,All aged 16 to 64,2822641,2228749,2154126,74623,593892,79.0,76.3,3.3,21.0
Jan-Mar,Jan,Mar,2023,South West,Male,All aged 16 to 64,1665582,1402198,1358097,44101,263384,84.2,81.5,3.1,15.8
Jan-Mar,Jan,Mar,2023,South West,Female,All aged 16 to 64,1688470,1311415,1284501,26914,377055,77.7,76.1,2.1,22.3
Jan-Mar,Jan,Mar,2023,England,Male,All aged 16 to 64,17488207,14599995,13986796,613199,2888212,83.5,80.0,4.2,16.5
Jan-Mar,Jan,Mar,2023,England,Female,All aged 16 to 64,17568081,13273873,12760128,513745,4294208,75.6,72.6,3.9,24.4
Jan-Mar,Jan,Mar,2023,Wales,Male,All aged 16 to 64,954011,779264,727465,51799,174747,81.7,76.3,6.6,18.3
Jan-Mar,Jan,Mar,2023,Wales,Female,All aged 16 to 64,958413,656509,640516,15992,301904,68.5,66.8,2.4,31.5
Jan-Mar,Jan,Mar,2023,Scotland,Male,All aged 16 to 64,1683136,1353975,1312614,41361,329161,80.4,78.0,3.1,19.6
Jan-Mar,Jan,Mar,2023,Scotland,Female,All aged 16 to 64,1761930,1325497,1282699,42798,436433,75.2,72.8,3.2,24.8
Jan-Mar,Jan,Mar,2023,Northern Ireland,Male,All aged 16 to 64,579144,452944,437545,15399,126200,78.2,75.6,3.4,21.8
Jul-Sep,Jan,Mar,2023,Northern Ireland,Female,All aged 16 to 64,590955,411466,404793,6673,179489,69.6,68.5,1.6,30.4
Jul-Sep,Jul,Sep,2021,North East,Male,All aged 16 to 64,802173,622181,585401,36780,179992,77.6,73.0,5.9,22.4
Jul-Sep,Jul,Sep,2021,North East,Female,All aged 16 to 64,822748,588926,562690,26236,233822,71.6,68.4,4.5,28.4
Jul-Sep,Jul,Sep,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1680784,1346382,1280566,65816,334402,80.1,76.2,4.9,19.9
Jul-Sep,Jul,Sep,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1692099,1212491,1162736,49755,479608,71.7,68.7,4.1,28.3
Jul-Sep,Jul,Sep,2021,East Midlands,Male,All aged 16 to 64,1467391,1193596,1140728,52869,273795,81.3,77.7,4.4,18.7
Jul-Sep,Jul,Sep,2021,East Midlands,Female,All aged 16 to 64,1481845,1128216,1085380,42836,353629,76.1,73.2,3.8,23.9
Jul-Sep,Jul,Sep,2021,West Midland,Male,All aged 16 to 64,1813747,1514545,1445816,68729,299202,83.5,79.7,4.5,16.5
Jul-Sep,Jul,Sep,2021,West Midland,Female,All aged 16 to 64,1810178,1320183,1247454,72729,489995,72.9,68.9,5.5,27.1
Jul-Sep,Jul,Sep,2021,East of England,Male,All aged 16 to 64,1884906,1615493,1560122,55371,269413,85.7,82.8,3.4,14.3
Jul-Sep,Jul,Sep,2021,East of England,Female,All aged 16 to 64,1907361,1484266,1437350,46915,423095,77.8,75.4,3.2,22.2
Jul-Sep,Jul,Sep,2021,London,Male,All aged 16 to 64,3102379,2581701,2451849,129852,520678,83.2,79.0,5.0,16.8
Jul-Sep,Jul,Sep,2021,London,Female,All aged 16 to 64,3037355,2306031,2161858,144173,731324,75.9,71.2,6.3,24.1
Jul-Sep,Jul,Sep,2021,South East,Male,All aged 16 to 64,2782635,2378961,2288567,90394,403674,85.5,82.2,3.8,14.5
Jul-Sep,Jul,Sep,2021,South East,Female,All aged 16 to 64,2812118,2178985,2091332,87652,633133,77.5,74.4,4.0,22.5
Jul-Sep,Jul,Sep,2021,South West,Male,All aged 16 to 64,1659432,1406190,1353197,52993,253242,84.7,81.5,3.8,15.3
Jul-Sep,Jul,Sep,2021,South West,Female,All aged 16 to 64,1682190,1317356,1276749,40607,364834,78.3,75.9,3.1,21.7
Jul-Sep,Jul,Sep,2021,England,Male,All aged 16 to 64,17422939,14451978,13810365,641613,2970961,82.9,79.3,4.4,17.1
Jul-Sep,Jul,Sep,2021,England,Female,All aged 16 to 64,17501938,13207297,12637118,570179,4294641,75.5,72.2,4.3,24.5
Jul-Sep,Jul,Sep,2021,Wales,Male,All aged 16 to 64,950430,764879,736095,28784,185551,80.5,77.4,3.8,19.5
Jul-Sep,Jul,Sep,2021,Wales,Female,All aged 16 to 64,954835,696923,668490,28433,257912,73.0,70.0,4.1,27.0
Jul-Sep,Jul,Sep,2021,Scotland,Male,All aged 16 to 64,1676852,1347408,1284292,63116,329444,80.4,76.6,4.7,19.6
Jul-Sep,Jul,Sep,2021,Scotland,Female,All aged 16 to 64,1755371,1328275,1280482,47793,427096,75.7,72.9,3.6,24.3
Jul-Sep,Jul,Sep,2021,Northern Ireland,Male,All aged 16 to 64,577009,418297,393376,24921,158712,72.5,68.2,6.0,27.5
Jul-Sep,Jul,Sep,2021,Northern Ireland,Female,All aged 16 to 64,588699,412498,400341,12157,176201,70.1,68.0,2.9,29.9
Jul-Sep,Jul,Sep,2022,North East,Male,All aged 16 to 64,805109,625867,601855,24011,179242,77.7,74.8,3.8,22.3
Jul-Sep,Jul,Sep,2022,North East,Female,All aged 16 to 64,825747,594282,567530,26752,231465,72.0,68.7,4.5,28.0
Jul-Sep,Jul,Sep,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1686878,1370513,1310890,59623,316365,81.2,77.7,4.4,18.8
Jul-Sep,Jul,Sep,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1698242,1267544,1214874,52670,430698,74.6,71.5,4.2,25.4
Jul-Sep,Jul,Sep,2022,East Midlands,Male,All aged 16 to 64,1472685,1206855,1159688,47167,265830,81.9,78.7,3.9,18.1
Jul-Sep,Jul,Sep,2022,East Midlands,Female,All aged 16 to 64,1487246,1082859,1048553,34307,404387,72.8,70.5,3.2,27.2
Jul-Sep,Jul,Sep,2022,West Midland,Male,All aged 16 to 64,1820379,1488848,1416920,71928,331531,81.8,77.8,4.8,18.2
Jul-Sep,Jul,Sep,2022,West Midland,Female,All aged 16 to 64,1816793,1342969,1277852,65116,473824,73.9,70.3,4.8,26.1
Jul-Sep,Jul,Sep,2022,East of England,Male,All aged 16 to 64,1891866,1610446,1567400,43046,281420,85.1,82.8,2.7,14.9
Jul-Sep,Jul,Sep,2022,East of England,Female,All aged 16 to 64,1914363,1488998,1443984,45015,425365,77.8,75.4,3.0,22.2
