Date of Publication,Quarter_From,Quarter_To,Year,Region,Sex,Age,Total,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),"Unemployment
rate (%)",Economic inactivity rate (%)
Aug-Oct,Aug,Oct,2022,Wales,Male,All aged 16 to 64,954094,765670,733270,32401,188424,80.3,76.9,4.2,19.7
Aug-Oct,Aug,Oct,2022,Wales,Female,All aged 16 to 64,958530,667594,647865,19728,290936,69.6,67.6,3.0,30.4
Aug-Oct,Aug,Oct,2022,Scotland,Male,All aged 16 to 64,1683308,1341039,1285327,55712,342269,79.7,76.4,4.2,20.3
Aug-Oct,Aug,Oct,2022,Scotland,Female,All aged 16 to 64,1762085,1366291,1331308,34983,395794,77.5,75.6,2.6,22.5
Aug-Oct,Aug,Oct,2022,Northern Ireland,Male,All aged 16 to 64,579255,452420,434637,17782,126835,78.1,75.0,3.9,21.9
Dec-Feb,Aug,Oct,2022,Northern Ireland,Female,All aged 16 to 64,590997,405788,399447,6341,185209,68.7,67.6,1.6,31.3
Dec-Feb,Dec,Feb,2022,North East,Male,All aged 16 to 64,802036,621270,586655,34614,180766,77.5,73.1,5.6,22.5
Dec-Feb,Dec,Feb,2022,North East,Female,All aged 16 to 64,822617,585072,554679,30393,237545,71.1,67.4,5.2,28.9
Dec-Feb,Dec,Feb,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1680467,1352968,1281406,71561,327499,80.5,76.3,5.3,19.5
Dec-Feb,Dec,Feb,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1691739,1199766,1160698,39067,491973,70.9,68.6,3.3,29.1
Dec-Feb,Dec,Feb,2022,East Midlands,Male,All aged 16 to 64,1467092,1176109,1140521,35589,290983,80.2,77.7,3.0,19.8
Dec-Feb,Dec,Feb,2022,East Midlands,Female,All aged 16 to 64,1481595,1133559,1103187,30371,348036,76.5,74.5,2.7,23.5
Dec-Feb,Dec,Feb,2022,West Midland,Male,All aged 16 to 64,1813413,1523888,1458865,65023,289525,84.0,80.4,4.3,16.0
Dec-Feb,Dec,Feb,2022,West Midland,Female,All aged 16 to 64,1809846,1355946,1275943,80003,453900,74.9,70.5,5.9,25.1
Dec-Feb,Dec,Feb,2022,East of England,Male,All aged 16 to 64,1884581,1588445,1537244,51201,296136,84.3,81.6,3.2,15.7
Dec-Feb,Dec,Feb,2022,East of England,Female,All aged 16 to 64,1907010,1480303,1433204,47099,426707,77.6,75.2,3.2,22.4
Dec-Feb,Dec,Feb,2022,London,Male,All aged 16 to 64,3101804,2625473,2514615,110858,476331,84.6,81.1,4.2,15.4
Dec-Feb,Dec,Feb,2022,London,Female,All aged 16 to 64,3036743,2255717,2134249,121469,781026,74.3,70.3,5.4,25.7
Dec-Feb,Dec,Feb,2022,South East,Male,All aged 16 to 64,2782054,2361984,2272545,89438,420070,84.9,81.7,3.8,15.1
Dec-Feb,Dec,Feb,2022,South East,Female,All aged 16 to 64,2811587,2165000,2096017,68983,646587,77.0,74.5,3.2,23.0
Dec-Feb,Dec,Feb,2022,South West,Male,All aged 16 to 64,1659042,1377421,1332745,44676,281621,83.0,80.3,3.2,17.0
Dec-Feb,Dec,Feb,2022,South West,Female,All aged 16 to 64,1681875,1332908,1298725,34183,348967,79.3,77.2,2.6,20.7
Dec-Feb,Dec,Feb,2022,England,Male,All aged 16 to 64,17419539,14419033,13829884,589149,3000506,82.8,79.4,4.1,17.2
Dec-Feb,Dec,Feb,2022,England,Female,All aged 16 to 64,17498630,13154638,12638013,516625,4343992,75.2,72.2,3.9,24.8
Dec-Feb,Dec,Feb,2022,Wales,Male,All aged 16 to 64,950240,756986,732508,24477,193254,79.7,77.1,3.2,20.3
Dec-Feb,Dec,Feb,2022,Wales,Female,All aged 16 to 64,954628,700146,680961,19185,254482,73.3,71.3,2.7,26.7
Dec-Feb,Dec,Feb,2022,Scotland,Male,All aged 16 to 64,1676569,1343204,1277483,65721,333365,80.1,76.2,4.9,19.9
Dec-Feb,Dec,Feb,2022,Scotland,Female,All aged 16 to 64,1755025,1320354,1290843,29511,434671,75.2,73.6,2.2,24.8
Dec-Feb,Dec,Feb,2022,Northern Ireland,Male,All aged 16 to 64,576914,434038,415516,18522,142876,75.2,72.0,4.3,24.8
Dec-Feb,Dec,Feb,2022,Northern Ireland,Female,All aged 16 to 64,588638,399923,392659,7264,188715,67.9,66.7,1.8,32.1
Dec-Feb,Dec,Feb,2023,North East,Male,All aged 16 to 64,804936,627171,595935,31236,177765,77.9,74.0,5.0,22.1
Dec-Feb,Dec,Feb,2023,North East,Female,All aged 16 to 64,825548,618919,596009,22910,206629,75.0,72.2,3.7,25.0
Dec-Feb,Dec,Feb,2023,Yorkshire and The Humber,Male,All aged 16 to 64,1686565,1373948,1310421,63527,312617,81.5,77.7,4.6,18.5
Dec-Feb,Dec,Feb,2023,Yorkshire and The Humber,Female,All aged 16 to 64,1697891,1247155,1216102,31053,450736,73.5,71.6,2.5,26.5
